,number of threads,n,m,fraction of member operations,fraction of insert operations,fraction of delete operations,number of iterations,remaining nodes,Execution Time
0,1.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1482.0,0.0444
1,1.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1482.0,0.035468
2,1.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1482.0,0.035057
3,1.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1482.0,0.037899
4,1.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1482.0,0.038954
5,1.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1482.0,0.037631
6,1.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1482.0,0.036914
7,1.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1482.0,0.032516
8,1.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1482.0,0.0329
9,1.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1482.0,0.028997
10,1.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1482.0,0.027785
11,1.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1482.0,0.033427
12,1.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1482.0,0.026855
13,1.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1482.0,0.02828
14,1.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1482.0,0.030321
15,1.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1487.0,0.03203
16,1.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1487.0,0.027232
17,1.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1487.0,0.03066
18,1.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1487.0,0.028933
19,1.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1487.0,0.029403
20,1.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1487.0,0.027602
21,1.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1487.0,0.026982
22,1.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1487.0,0.028248
23,1.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1487.0,0.024271
24,1.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1487.0,0.025455
25,1.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1487.0,0.030593
26,1.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1487.0,0.032718
27,1.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1487.0,0.030217
28,1.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1487.0,0.038093
29,1.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1487.0,0.027866
30,2.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1483.0,0.024892
31,2.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1472.0,0.022923
32,2.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1479.0,0.023332
33,2.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1476.0,0.021468
34,2.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1476.0,0.02533
35,2.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1479.0,0.024104
36,2.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1477.0,0.022596
37,2.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1483.0,0.025747
38,2.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1480.0,0.025648
39,2.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1483.0,0.030678
40,2.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1477.0,0.030164
